"Absolute Friends (Penguin, 2018)",John Le Carré
"Agent Running in the Field (Penguin, 2019)",John Le Carré
"A Legacy of Spies (Penguin, 2017)",John Le Carré
"The Little Drummer Girl (Penguin, 2018)",John Le Carré
"A Most Wanted Man (Scribner, 2014)",John Le Carré
"The Naive and Sentimental Lover (Penguin, 2011)",John Le Carré
"Not One More Death (Verso, 2006)",John Le Carré
"Our Kind of Traitor (Viking, 2010)",John Le Carré
"A Perfect Spy (Penguin, 2011)",John Le Carré
"The Tailor of Panama (Ballantine, 2008)",John Le Carré
"Tinker, Tailor, Soldier, Spy (Penguin, 2011)",John Le Carré
1963-00 Amazing Spider-Man Fantasy 15,Stan Lee and Steve Ditko
1963-01 Amazing Spider-Man v1 001,Stan Lee and Steve Ditko
1963-02 Amazing Spider-Man v1 002,Stan Lee and Steve Ditko
1963-03 Amazing Spider-Man v1 003,Stan Lee and Steve Ditko
1963-04 Amazing Spider-Man v1 004,Stan Lee and Steve Ditko
1963-05 Amazing Spider-Man v1 005,Stan Lee and Steve Ditko
1963-06 Amazing Spider-Man v1 006,Stan Lee and Steve Ditko
1963-07 Amazing Spider-Man v1 007,Stan Lee and Steve Ditko
Salvadore,Joan Didion
"Dubliners (Vintage, 2012)",James Joyce
"In Search of Lost Time: The Complete Masterpiece (Modern Library, 2003)",Marcel Proust
Complete Works,Jane Austen
Great Expectations (Penguin 2010),Charles Dickens
"Madame Bovary [trans. Davis] (Penguin, 2010)",Gustave Flaubert
Too Much and Never Enough,Mary L. Trump
"Metamorphosis & Other Stories (Penguin, 2007)",Franz Kafka
Based on a True Story: A Memoir,Norm Macdonald
The Lord of The Rings: The Fellowship of The Ring,J.R.R Tolkien
The Lord of The Rings: The Two Towers,J.R.R Tolkien
The Lord of The Rings: The Return of The King,J.R.R Tolkien
The Outsiders,S.E Hinton
Contact,Carl Sagan
Cosmos,Carl Sagan
Comet,Carl Sagan
Billions and Billions,Carl Sagan
The Rise and Fall of the Third Reich,William L. Shirer
The Arabian Nights Encyclopedia,Ulrich Marzolph & Richard van Leeuwen & Hassan Wassouf
The Arabian Nights  ,Andrew Lang
Arabian Nights: The Tales From a Thousand and One Nights,Richard Burton & A. S. Byatt
"Arabian Nights: The Tales of 1,001 Nights [Vol, 1]",Robert Irwin & Malcolm C. Lyons & Ursula Lyons.
1776,David McCullough
Being Mortal,Atul Gawande
Homeland Elegies,Ayad Akhtar
Train Dreams,Denis Johnson
The Age of Surveillance Capitalism,Shoshana Zuboff
Post Corona: From Crisis to Opportunity,Scott Galloway
No Filter: The Inside Story of Instagram ,Sarah Frier
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance
"AI Superpowers: China, Silicon Valley, and the New World Order",Kai Fu Lee
The Return of The Shadow,J.R.R Tolkien
A Brief History of Artificial Intelligence,Michael Wooldridge
"The Stranger (Vintage, 1958)",Albert Camus
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin
So You Want to Talk About Race,Ijeoma Oluo
Flowers for Algernon,Daniel Keyes
The Midnight Library,Matthew Haig
The Little Prince,Antoine de Saint-Exupéry
The Book Thief,Markus Zusak
Wuthering Heights,Emily Brontë
The Adventures of Huckleberry Finn,Mark Twain
Little Women,Louisa May Alcott
Lord of The Flies,William Golding
Leaving The World Behind,Rumaan Alam
Eat A Peach,David Chang
Ender's Game,Orson Scott Card
Such a Fun Age,Kiley Reid
Hunger Games,Suzanne Collins
Catching Fire,Suzanne Collins
Mockingjay,Suzanne Collins
East of Eden,John Steinbeck
One Hundred Years of Solitude,Gabriel García Márquez
Brave New World,Aldous Huxley
Atlas Shrugged,Ayn Rand
Memoirs of a Geisha,Arthur Golden
"Walden (Princeton, 1971)",Henry David Thoreau
The Complete Stories,Truman Capote
Breakfast At Tiffany's,Truman Capote
NeuroTribes: The Legacy of Autism,Steve Silberman
Overstated: A Coast-To-Coast Roast of the 50 States,Colin Quinn
Moneyball: The Art of Winning an Unfair Game,Michael Lewis
A Thousand Splendid Suns,Khaled Hosseini
Hamnet,Maggie O'Farrell
The Communist Manifesto,Karl Marx
The Autobiography of Malcom X,Alex Haley
Narrative of the Life of Frederick Douglass,Frederick Douglas
"Social Contract: First & Second Discourses (Yale, 2002)",Jean Jacques Rousseau
Gone Girl,Gillian Flynn
Tuesdays with Morrie,Mitch Albom
How to Win Friends and Influence People,Dale Carnegie
A People's History of The United States,Howard Zinn
Invisible Man,Ralph Ellison
A Promised Land,Barack Obama
The Sentinel,Lee Child
Greenlights,Matthew McConaughey
Becoming,Michelle Obama
Just As I Am ,Cicely Tyson
Big Sur,Jack Kerouac
The Lord of The Rings Illustrated,J.R.R Tolkien
Complete Works of George Eliot (Delphi Classics),George Eliot
"The Brothers Karamazov (Penguin, 2003)",Fyodor Mikhailovich Dostoyevsky
Wide Sargasso Sea,Jean Rhys
"Jude the Obscure (Barnes & Noble, 2003)",Thomas Hardy
"Tess of the d'Urbervilles (Barnes & Noble, 2005)",Thomas Hardy
"Tropic of Cancer (Grove, 1961)",Henry Miller
The Secret History,Donna Tartt
Charlie and the Great Glass Elevator,Roald Dahl
Charlie and the Chocolate Factory,Roald Dahl
Matilda ,Roald Dahl
The BFG,Roald Dahl
Pride and Prejudice,Jane Austen
Buddenbrooks: The Decline of a Family ,Thomas Mann
"Lost Illusions (Penguin, 2004)",Honoré de Balzac
"Things Fall Apart (Anchor, 1994)",Chinua Achebe
Homegoing,Yaa Gyasi
"Books v. Cigarettes (Penguin, 2008)",George Orwell
"Burmese Days (Penguin, 2009)",George Orwell
"Coming Up for Air (Penguin, 2000)",George Orwell
"Mrs. Dalloway (Penguin, 1992)",Virginia Woolf
"Room of One's Own: Three Guineas (Penguin, 2000)",Virginia Woolf
"Orlando (Penguin, 1993)",Virginia Woolf
The Waves (Penguin 2000),Virginia Woolf
"Jacob's Room (Penguin, 1992)",Virginia Woolf
"Voyage Out (Penguin, 1992)",Virginia Woolf
"Junky (Odyssey, 2010)",William S. Burroughs
"Nova Express: The Restored Text (Grove, 2014)",William S. Burroughs
"Queer (Penguin, 2010)",William S. Burroughs
"Soft Machine: The Restored Text (Grove, 2014)",William S. Burroughs
"Wild Boys (Grove, 1992)",William S. Burroughs
"American Pastoral (Houghton Mifflin, 1997)",Philip Roth
"The Counterlife (FSG, 2013)",Philip Roth
"Dying Animal (Houghton Mifflin, 2001)",Philip Roth
"Everyman (Houghton Mifflin, 2006)",Philip Roth
"The Ghost Writer (FSG, 2013)",Philip Roth
"Goodbye, Columbus (Houghton Mifflin, 1989)",Philip Roth
"The Human Stain (Houghton Mifflin, 2000)",Philip Roth
"I Married a Communist (Houghton Mifflin, 1998)",Philip Roth
"Nemesis (Houghton Mifflin, 2010)",Philip Roth
"Plot Against America (Houghton Mifflin, 2004)",Philip Roth
"Portnoy's Complaint (Vintage, 1994)",Philip Roth
"A Clergyman's Daughter (Penguin, 2000)",George Orwell
"Homage to Catalonia (Penguin, 2003)",George Orwell
"Road to Wigan Pier (Penguin, 2001)",George Orwell
Sacred Mushroom and The Cross,John Marco Allegro
The Doors Of Perception,Aldous Huxley
The Bonfire of the Vanities,Tom Wolfe
The Electric Kool-Aid Acid Test,Tom Wolfe
Chasing the Bear ,Lars Anderson
The Jazz of Physics,Stephon Alexander
The Psychedelic Experience,Timothy Leary
"The Castle (Penguin, 1997)",Franz Kafka
"Amerika (Penguin, 2007)",Franz Kafka
Travels with Charley in Search of America,John Steinbeck
The Wind in the Willows,Kenneth Graham
Brideshead Revisited ,Evelyn Waugh
"I Am Not Your Negro (Vintage, 2017)",James Baldwin
"If Beale Street Could Talk (Penguin, 1974)",James Baldwin
"The Master And Margarita (Penguin, 2007)",Mikhail Bulgakov
"Morphine (New Directions, 2013)",Mikhail Bulgakov
The Myth Of Sisyphus And Other Essays,Albert Camus
"Forsyte Saga, Vol. 1 (Penguin, 2001)",John Galsworthy
"Forsyte Saga, Vol. 2 (Penguin, 2001)",John Galsworthy
"Forsyte Saga, Vol. 3 (Penguin, 2001)",John Galsworthy
The Wealth of Nations: Complete and Unabridged,Adam Smith
The Divine Comedy 1: Inferno,Dante Alighieri & Robin Kirkpatrick
The Divine Comedy 2: Purgatorio,Dante Alighieri & Robin Kirkpatrick
The Divine Comedy 3: Paradiso,Dante Alighieri & Robin Kirkpatrick
Into Thin Air,Jon Krakauer
"The Dharma Bums (Penguin, 2006)",Jack Kerouac
Another Roadside Attraction,Tom Robbins
"Blood Meridian (Random House, 1992)",Cormac McCarthy
"No Country for Old Men (Vintage, 2006)",Cormac McCarthy
"White Noise (Penguin, 1999)",Don DeLillo
"Exemplary Stories (Penguin, 1972)",Miguel de Cervantes
"The World of Sex (Penguin, 2015)",Henry Miller
"A Farewell to Arms (Harper Perennial, 2012)",Ernest Hemingway
"Big Woods (Vintage, 1994)",William Faulkner
"Intruder in the Dust (Vintage, 1991)",William Faulkner
"The Mansion (Random House, 1959)",William Faulkner
"Pylon (Vintage, 2011)",William Faulkner
"These 13 (Random House, 2012)",William Faulkner
"Wild Palms (Vintage, 1990)",William Faulkner
"Wishing Tree (Random Houes, 2012)",William Faulkner
Let Me Tell You What I Mean ,Joan Didion
Memorial ,Bryan Washington
What Are You Going Through?,Sigrid Nunez
Death in Her Hands,Ottessa Moshfegh
The Lying Life of Adults,"Elena Ferrante, Ann Goldstein"
Luster,Raven Leilani
A Burning,Megha Majumdar
"Visions of Cody (Penguin, 1993)",Jack Kerouac & Brice Matthieussent
"Visions of Gerard (Penguin, 1991)",Jack Kerouac
"Tristessa (Penguin, 1992)",Jack Kerouac
"Wake Up: A Life of the Buddha (Penguin, 2008)",Jack Kerouac
"San Francisco Blues (Penguin, 1995)",Jack Kerouac
"Maggie Cassidy (Penguin, 1993)",Jack Kerouac
Jack Kerouac and Allen Ginsberg: The Letter [edited by Bill Morgan] ,Jack Kerouac
"Desolation Angels (Open Road, 2016)",Jack Kerouac
"Book of Blues (Penguin, 1995)",Jack Kerouac
"And the Hippos Were Boiled in their Tank (Grove, 2008)",Jack Kerouac & William S. Burroughs
"Book of Haikus (Penguin, 2003",Jack Kerouac
The Testaments,Margaret Atwood
The Nickel Boys,Colson Whitehead
1964-01 Amazing Spider-Man v1 008,Stan Lee and Steve Ditko
1964-02 Amazing Spider-Man v1 009,Stan Lee and Steve Ditko
1964-03 Amazing Spider-Man v1 010,Stan Lee and Steve Ditko
1964-04 Amazing Spider-Man v1 011,Stan Lee and Steve Ditko
1964-05 Amazing Spider-Man v1 012,Stan Lee and Steve Ditko
1964-06 Amazing Spider-Man v1 013,Stan Lee and Steve Ditko
1964-07 Amazing Spider-Man v1 014,Stan Lee and Steve Ditko
1964-08 Amazing Spider-Man v1 015,Stan Lee and Steve Ditko
1964-09 Amazing Spider-Man v1 016,Stan Lee and Steve Ditko
1964-10 Amazing Spider-Man v1 017,Stan Lee and Steve Ditko
1964-11 Amazing Spider-Man v1 018,Stan Lee and Steve Ditko
1964-12 Amazing Spider-Man v1 019,Stan Lee and Steve Ditko
Me Talk Pretty One Day,David Sedaris
Infinity Sagas: Thanos Quest,Jim Starlin
Infinity Sagas: Infinity Gauntlet,Jim Starlin
Infinity Sagas: Infinity War,Jim Starlin
Infinity Sagas: Infinity Crusade,Jim Starlin
Infinity Sagas: Infinity Abyss,Jim Starlin
Infinity Sagas: The End,Jim Starlin
"The Dead (Melville House, 2004)",James Joyce
"Finnegans Wake (Penguin, 2000)",James Joyce
"Giacomo Joyce (Faber & Faber, 2019)",James Joyce
"Epiphanies (Lockwood Memorial Library, 1956)",James Joyce
"Exiles (Penguin, 1973)",James Joyce
"Complete Short Stories (Cooper Square, 2001)",Marcel Proust
"Days of Reading (Penguin, 2008)",Marcel Proust
"The Lemoine Affair (Melville House, 2008)",Marcel Proust
"Swann in Love (Oxford, 2017)",Marcel Proust
"Swann's Way [trans. Carter] (Yale, 2013)",Marcel Proust
Anxious People,Fredrik Backman
"Abandoned Fragments (Elektron, 2013)",Franz Kafka
"Complete Stories (Schocken, 1983)",Franz Kafka
"Great Wall of China (Penguin, 2002)",Franz Kafka
"Letters to Felice (Schocken, 1973)",Franz Kafka
"The Sons (Schocken, 1989)",Franz Kafka
The Picture of Dorian Grey,Oscar Wilde
"Cycles of Time (Bodley Head, 2010)",Roger Penrose
Nature Of Space and Time (Princeton 2010),Roger Penrose and Stephen Hawking
"Techniques of Differential Topology in Relativity (SIAM, 1987)",Roger Penrose
"The Road to Reality (Jonathan Cape, 2004)",Roger Penrose
"Giovanni's Room (Vintage, 2013)",James Baldwin
"Another Country (Vintage, 1993).",James Baldwin
"Stamped Racism, Antiracism, and You",Jason Reynolds
"Native Sons [with Sol Stein] (One World, 2004)",James Baldwin
Relativity The Special and the General Theory ,Albert Einstein
The World As I See It,Albert Einstein
"The Idiot (Knopf, 2002)",Fyodor Mikhailovich Dostoyevsky
"Caligula & Three Other Plays (Vintage, 1962)",Albert Camus
"Christian Metaphysics and Neoplatonism (Missouri, 2007)",Albert Camus
"Exile and the Kingdom (Vintage, 1958)",Albert Camus
"The Fall (Knopf, 1984)",Albert Camus
"The First Man (Knopf, 1995)",Albert Camus
"A Happy Death (Vintage, 1973)",Albert Camus
Bombs Away:  The Story of a Bomber Team,John Steinbeck
Cannery Row,John Steinbeck
Cup of Gold,John Steinbeck
In Dubious Battle,John Steinbeck
The Acts of King Arthur and His Noble Knights,John Steinbeck
The Log From the Sea of Cortez,John Steinbeck
The Pearl,John Steinbeck
"Love in the New Millennium (Yale, 2018)",Can Xue
"The Last Lover (Yale, 2014)",Can Xue
